DateTime,salinite,conductivite,O2 (mL/L),ph,Fluorimetry (µg/L),turbidite
2021-04-02,36.2169,5.932044,4.5056,8.011,0.0888,1.766
2021-04-02,35.9712,5.892922,4.5158,8.058,0.1353,1.8686
2021-04-02,36.0522,5.871667,3.7328,8.03,0.191,1.7328
2021-04-02,36.1503,5.869606,3.4546,8.011,0.1346,1.7282
2021-04-03,36.119,5.85811,3.4218,8.004,0.1376,1.7999
2021-04-03,36.1559,5.854252,3.0811,7.977,0.1307,1.7816
2021-04-03,36.1609,5.851719,3.1093,7.98,0.1491,1.8201
2021-04-03,36.1613,5.857157,3.2091,8.024,0.1605,1.8663
2021-04-03,36.1762,5.91261,3.9606,8.083,0.0979,1.8465
2021-04-03,36.1341,5.930907,4.3594,8.068,0.1307,1.8678
2021-04-03,36.1438,5.922527,3.8679,8.059,0.1323,1.8384
2021-04-03,36.1374,5.897972,3.5515,8.029,0.1193,1.8602
2021-04-04,36.1696,5.879092,3.2438,8.001,0.1224,1.8938
2021-04-04,36.1674,5.863195,2.8503,7.974,0.1208,1.8747
2021-04-04,36.1723,5.855687,2.8791,7.966,0.1323,1.8976
2021-04-04,36.1725,5.860798,3.0075,7.979,0.143,1.9517
2021-04-04,36.1776,5.923977,4.1313,8.05,0.1132,1.9895
2021-04-04,36.187,5.960805,4.2757,8.072,0.1292,1.8968
2021-04-04,36.1866,5.943082,3.6336,8.063,0.1231,1.9659
2021-04-04,36.1901,5.920809,3.3868,8.031,0.1391,2.0582
2021-04-05,36.19,5.874178,2.883,7.997,0.1376,1.9876
2021-04-05,36.19,5.835666,2.717,7.968,0.1582,2.0486
2021-04-05,36.2059,5.801862,2.3999,7.952,0.1834,2.086
2021-04-05,36.2221,5.781893,2.9668,7.988,0.1582,2.1074
2021-04-05,36.2287,5.858229,4.1171,8.083,0.1819,2.1925
2021-04-05,36.2226,5.933128,4.041,8.113,0.1834,2.2207
2021-04-05,36.2183,5.900648,3.7863,8.09,0.178,2.2413
2021-04-05,36.2215,5.852936,3.2465,8.033,0.1063,2.152
2021-04-06,36.2351,5.838851,3.3244,8.026,0.1231,2.1665
2021-04-06,36.2401,5.838408,3.0356,8.015,0.0865,2.0238
2021-04-06,36.2539,5.815582,2.9279,7.993,0.1254,2.0711
2021-04-06,36.2403,5.832883,3.1549,8.057,0.1399,2.057
2021-04-06,36.2512,5.915076,4.2646,8.133,0.13,2.078
2021-04-06,36.2588,5.939941,4.3545,8.135,0.162,2.0261
2021-04-06,36.2569,5.895894,3.7772,7.427,0.1658,1.9804
2021-04-06,36.2523,5.861135,3.5103,7.853,0.1765,1.9918
2021-04-07,36.244,5.852507,3.2515,7.822,0.1658,2.1627
2021-04-07,36.2612,5.854844,3.3862,7.866,0.1231,1.9166
2021-04-07,36.2613,5.844605,3.1322,7.839,0.1819,2.0448
2021-04-07,36.2565,5.864078,3.7471,7.925,0.2078,2.0998
2021-04-07,36.2551,5.936124,4.3132,8.001,0.2139,2.0219
2021-04-07,36.2561,5.951338,4.2052,7.99,0.2574,1.9613
2021-04-07,36.2537,5.921411,3.4673,7.943,0.2536,2.0086
