DateTime,genre,recouvrement %
2000-07-29,Acropora,7.01
2000-07-29,Astrea curta,4.01
2000-07-29,Astreopora,2.0
2000-07-29,Cyphastrea,2.04
2000-07-29,Leptastrea,2.02
2000-07-29,Montipora,5.02
2000-07-29,Pavona,5.03
2000-07-29,Pocillopora,14.7
2000-07-29,Porites,3.6933333333333334
2000-07-30,Acropora,6.333333333333334
2000-07-30,Astrea curta,2.0
2000-07-30,Astreopora,3.0
2000-07-30,Montipora,2.6666666666666665
2000-07-30,Pavona,3.5
2000-07-30,Pocillopora,21.666666666666664
2000-07-30,Porites,6.0
2001-02-15,Acropora,8.666666666666666
2001-02-15,Astrea curta,2.0
2001-02-15,Astreopora,2.0
2001-02-15,Leptastrea,6.0
2001-02-15,Millepora,2.0
2001-02-15,Montipora,5.0
2001-02-15,Pavona,2.0
2001-02-15,Pocillopora,12.0
2001-02-15,Porites,4.333333333333334
2001-02-15,Psammocora,2.0
2001-02-16,Acropora,3.0
2001-02-16,Astrea curta,2.0
2001-02-16,Lobophyllia,2.0
2001-02-16,Montipora,4.666666666666667
2001-02-16,Pavona,3.0
2001-02-16,Pocillopora,22.0
2001-02-16,Porites,7.333333333333333
2001-02-21,Acropora,3.0
2001-02-21,Astrea curta,2.0
2001-02-21,Lobophyllia,2.0
2001-02-21,Montipora,4.666666666666667
2001-02-21,Pavona,3.0
2001-02-21,Pocillopora,22.0
2001-02-21,Porites,7.333333333333333
2001-08-09,Acropora,4.0
2001-08-09,Astrea curta,2.0
2001-08-09,Montipora,5.333333333333333
2001-08-09,Pavona,2.0
2001-08-09,Pocillopora,12.0
2001-08-09,Porites,4.0
2001-08-10,Acropora,6.035555555555555
2001-08-10,Astrea curta,3.0
2001-08-10,Astreopora,4.0
2001-08-10,Leptastrea,2.02
2001-08-10,Millepora,2.02
2001-08-10,Montipora,4.8533333333333335
2001-08-10,Napopora,4.0
2001-08-10,Pavona,2.6666666666666665
2001-08-10,Pocillopora,21.712222222222223
2001-08-10,Porites,4.555555555555556
2001-08-10,Psammocora,2.0
2002-01-09,Acropora,7.513333333333334
2002-01-09,Astrea curta,2.0
2002-01-09,Astreopora,2.0
2002-01-09,Leptastrea,2.0
2002-01-09,Millepora,2.0
