Annee,Mois,Jour,Heure,Minute,Sec,Hs (m),Tpeak (s),Hrms (m),H1/10 (m),H1/100 (m),Hmax (m)
2022,8,24,16,0,0,1.541745091904275,7.524497487437184,1.087786814843571,1.958016266718429,2.574714303480139,2.998999339284288
2022,8,24,17,0,0,1.58035845775088,8.500567697984671,1.115030689635343,2.007055241343617,2.639198624443969,3.07410997804655
2022,8,24,18,0,0,1.673220833585543,7.964231101655475,1.180550254807577,2.124990458653639,2.794278792087856,3.254745677965363
2022,8,24,19,0,0,1.851115373365914,6.901140684410646,1.306064735652617,2.35091652417471,3.091362673521076,3.60078576595725
2022,8,24,20,0,0,1.729334348256938,7.045641689213034,1.220141456825728,2.196254622286312,2.887988361589087,3.363897569745721
2022,8,24,21,0,0,1.773517966532447,7.847363249263021,1.25131545416456,2.252367817496208,2.961775004109187,3.449843451922507
2022,8,24,22,0,0,1.670348555972987,7.801367632692933,1.178523703380941,2.121342666085694,2.789482088474889,3.249158529540162
2022,8,24,23,0,0,1.761070648887511,8.267080745341616,1.242533180048411,2.236559724087139,2.940987983642143,3.425630955583751
2022,8,25,0,0,0,1.8164525952522,8.578487539386995,1.281608219983497,2.306894795970294,3.033475834071174,3.533359802218726
2022,8,25,1,0,0,1.578110746862745,8.377508916707463,1.113444804730937,2.004200648515686,2.635444947260784,3.069737735511896
2022,8,25,2,0,0,1.517055529779699,8.384545390914818,1.070366957122343,1.926660522820218,2.533482734732097,2.950973254500476
2022,8,25,3,0,0,1.667797160326121,7.369424792371579,1.176723552007874,2.118102393614173,2.785221257744621,3.244195560045798
2022,8,25,4,0,0,1.667217883515992,6.748732394366195,1.176314840036283,2.11736671206531,2.784253865471706,3.243068752002133
2022,8,25,5,0,0,1.664461602132619,7.203247143716176,1.17437013039357,2.113866234708427,2.779650875561474,3.237707239200165
2022,8,25,6,0,0,1.573746258569489,7.953127074757669,1.110365415768473,1.998657748383251,2.628156251811046,3.061247941980838
2022,8,25,7,0,0,1.673278655786828,8.435915492957747,1.180591051582929,2.125063892849272,2.794375355164004,3.254858153590784
2022,8,25,8,0,0,1.670352809223421,7.727390014191717,1.178526704285414,2.121348067713745,2.789489191403113,3.249166802954041
2022,8,25,9,0,0,1.440359687171183,7.173053892215569,1.01625377928189,1.829256802707403,2.405400677575876,2.801784661316959
2022,8,25,10,0,0,1.531304717862266,7.606197218871039,1.080420550936154,1.944756991685078,2.557278878829984,2.978690745458838
2022,8,25,11,0,0,1.568828013991842,7.43760089407674,1.106895320983133,1.992411577769639,2.619942783366376,3.051680982879587
2022,8,25,12,0,0,1.791298493988536,7.399468775094199,1.263860604091912,2.274949087365441,2.991468484960855,3.484430096869807
2022,8,25,13,0,0,1.496878100310786,7.366252613454678,1.056130659663721,1.901035187394698,2.499786427519012,2.911724160753737
2022,8,25,14,0,0,1.634848303902309,8.393945764137062,1.153476303308851,2.076257345955932,2.730196667516855,3.180103513206112
2022,8,25,15,0,0,1.501655840438117,8.186850738108255,1.059501620753561,1.907102917356409,2.507765253531656,2.92101781089109
2022,8,25,16,0,0,1.646904672476706,8.313554028732042,1.161982741136343,2.091568934045417,2.750330803036099,3.203555536227717
2022,8,25,17,0,0,1.789386435954007,7.421013505141866,1.262511540923105,2.27252077366159,2.988275348043192,3.48071076556638
2022,8,25,18,0,0,1.552822284922769,7.243756424986396,1.095602389917732,1.972084301851917,2.593213215821025,3.020546672055465
2022,8,25,19,0,0,1.381334681580563,9.206117430064555,0.9746083586707309,1.754295045607315,2.306828918239541,2.686969343469
2022,8,25,20,0,0,1.444134240213765,8.167871266875766,1.018916936150823,1.834050485071481,2.411704181156987,2.809126914028019
2022,8,25,21,0,0,1.478957340158347,8.021293692245882,1.043486567778389,1.878275822001101,2.46985875806444,2.876864735457787
2022,8,25,22,0,0,1.972937932455147,8.303181534622581,1.39201731901002,2.505631174218037,3.294806347200095,3.837754753980606
2022,8,25,23,0,0,1.348243725765582,8.657849089332176,0.9512608509568274,1.712269531722289,2.251567022028522,2.622600885189792
2022,8,26,0,0,0,1.861326730555952,8.098296376419686,1.31326941544781,2.363884947806059,3.10841564002844,3.620648876679591
2022,8,26,1,0,0,1.863158730442388,8.425235616823745,1.314561993145463,2.366211587661832,3.111475079838788,3.624212479040215
2022,8,26,2,0,0,2.042068609925922,9.035980991174473,1.440792852558845,2.593427134605921,3.410254578576289,3.972227603706403
2022,8,26,3,0,0,2.072735156246339,9.554155367682247,1.462429804684917,2.632373648432851,3.461467710931386,4.031880105690028
2022,8,26,4,0,0,2.147416776828332,10.40656763096169,1.515121836984434,2.727219306571982,3.586186017303314,4.177150638385832
2022,8,26,5,0,0,2.287624467964557,11.31161473087819,1.614046152397215,2.905283074314987,3.820332861500809,4.449882346946524
2022,8,26,6,0,0,3.116646741315876,11.22575203823447,2.198967423039535,3.958141361471163,5.204800057997513,6.062494745123002
2022,8,26,7,0,0,2.822796540406313,11.19323490936274,1.991639781286677,3.584951606316018,4.714070222478543,5.490897946791146
2022,8,26,8,0,0,2.727344922154356,9.91474921370634,1.92429336174224,3.463728051136033,4.554666019997775,5.30522565791902
2022,8,26,9,0,0,3.116086362813076,11.66179906542056,2.198572044873671,3.957429680772607,5.203864225897837,6.061404698027363
2022,8,26,10,0,0,3.487476081097792,10.74349775784753,2.460608123885664,4.429094622994195,5.824085055433311,6.783831203940308
2022,8,26,11,0,0,3.984814472818813,11.91229116945108,2.811507989155495,5.060714380479893,6.654640169607418,7.751252806904399
2022,8,26,12,0,0,3.421237878224962,10.07146460400202,2.413873391858723,4.344972105345702,5.713467256635687,6.654984789773596
2022,8,26,13,0,0,3.64439013537586,11.45657995409334,2.571319706626301,4.628375471927343,6.086131526077686,7.089060095263132
2022,8,26,14,0,0,2.871279958511685,10.70413725314985,2.025847526283244,3.64652554730984,4.795037530714513,5.585207790634827
2022,8,26,15,0,0,2.529273599213087,10.84170513168613,1.784543039444789,3.21217747100062,4.223886910685854,4.919937733377395
2022,8,26,16,0,0,3.536263571885478,11.76487919858574,2.495030409052532,4.491054736294558,5.905560165048748,6.878732529331844
2022,8,26,17,0,0,3.21974401430025,11.2037037037037,2.271708276756288,4.089074898161318,5.376972503881418,6.263039345644647
