Date;Date (PC1900);Time, Instrument (julian days);Temperature (ITS-90, deg C);Conductivity (S/m);Salinity, Practical (PSU);Oxygen, SBE43 (mL/L);Oxygen, SBE43 (% saturation);pH
07/04/2009 08:01;39910.3;97.3341;27.2587;5.73188;36.3374;4.29357;94.8255;8.194
07/04/2009 08:31;39910.4;97.3549;27.4501;5.75117;36.326;4.34513;96.2604;8.197
07/04/2009 09:01;39910.4;97.3757;27.3989;5.74585;36.328;4.33647;95.9888;8.199
07/04/2009 09:31;39910.4;97.3966;26.2098;5.62594;36.3973;4.25363;92.3561;8.19
07/04/2009 10:01;39910.4;97.4174;27.3454;5.74056;36.3318;4.34015;95.9881;8.2
07/04/2009 10:31;39910.4;97.4382;26.2745;5.63264;36.3949;4.26874;92.7829;8.188
07/04/2009 11:01;39910.5;97.4591;26.2939;5.63408;36.39;4.26158;92.6546;8.19
07/04/2009 11:31;39910.5;97.4799;26.6143;5.66672;36.3738;4.2835;93.6203;8.194
07/04/2009 12:01;39910.5;97.5007;27.5972;5.76418;36.3043;4.3272;96.0832;8.201
07/04/2009 12:31;39910.5;97.5216;27.4435;5.74968;36.3205;4.34016;96.1371;8.196
07/04/2009 13:01;39910.5;97.5424;27.7542;5.77959;36.2919;4.33401;96.4755;8.197
07/04/2009 13:31;39910.6;97.5632;26.6258;5.66935;36.3839;4.31142;94.2537;8.191
07/04/2009 14:01;39910.6;97.5841;26.5234;5.65756;36.3792;4.32443;94.375;8.191
07/04/2009 14:31;39910.6;97.6049;26.4971;5.65471;36.3793;4.31255;94.0747;8.191
07/04/2009 15:01;39910.6;97.6257;26.648;5.66963;36.3684;4.32786;94.6396;8.193
07/04/2009 15:31;39910.6;97.6466;27.7846;5.78154;36.2823;4.31263;96.042;8.197
07/04/2009 16:01;39910.7;97.6674;27.8827;5.79114;36.2744;4.30104;95.9335;8.195
07/04/2009 16:31;39910.7;97.6882;26.4624;5.65032;36.3748;4.32894;94.3755;8.189
07/04/2009 17:01;39910.7;97.7091;26.5929;5.66381;36.3697;4.3317;94.6377;8.191
07/04/2009 17:31;39910.7;97.7299;25.8223;5.58608;36.4137;4.18037;90.1874;8.18
07/04/2009 18:01;39910.8;97.7507;26.3958;5.64359;36.3786;4.32396;94.1643;8.185
07/04/2009 18:31;39910.8;97.7716;26.7068;5.67597;36.368;4.33843;94.9631;8.182
07/04/2009 19:01;39910.8;97.7924;25.7098;5.57434;36.4171;4.10021;88.2929;8.168
07/04/2009 19:31;39910.8;97.8132;25.575;5.55299;36.3674;4.07598;87.5477;8.162
07/04/2009 20:01;39910.8;97.8341;26.0804;5.6117;36.3961;4.20696;91.1448;8.168
07/04/2009 20:31;39910.9;97.8549;26.1381;5.61761;36.3934;4.22774;91.6819;8.175
07/04/2009 21:01;39910.9;97.8757;26.6529;5.67025;36.369;4.31997;94.4752;8.179
07/04/2009 21:31;39910.9;97.8966;25.5627;5.55806;36.4147;4.08818;87.8153;8.166
07/04/2009 22:01;39910.9;97.9174;25.6184;5.56407;36.4145;4.11341;88.4399;8.166
07/04/2009 22:31;39910.9;97.9382;26.4101;5.64559;36.3818;4.29555;93.5696;8.179
07/04/2009 23:01;39911;97.9591;25.6586;5.56824;36.4131;4.11274;88.4845;8.168
07/04/2009 23:31;39911;97.9799;26.6055;5.66399;36.3611;4.31752;94.343;8.179
08/04/2009 00:01;39911;98.0007;26.5797;5.66171;36.3649;4.30604;94.054;8.182
08/04/2009 00:31;39911;98.0216;26.848;5.68938;36.3537;4.32985;94.9896;8.182
08/04/2009 01:01;39911;98.0424;27.5947;5.76494;36.3116;4.34629;96.5072;8.185
08/04/2009 01:31;39911.1;98.0632;27.0226;5.7074;36.3465;4.35051;95.7146;8.18
08/04/2009 02:01;39911.1;98.0841;27.5379;5.76031;36.3228;4.34493;96.3931;8.184
08/04/2009 02:31;39911.1;98.1049;27.5827;5.76424;36.316;4.34495;96.4607;8.182
08/04/2009 03:01;39911.1;98.1257;26.7595;5.67938;36.3511;4.37659;95.8731;8.176
08/04/2009 03:31;39911.1;98.1466;26.8971;5.6933;36.3434;4.36837;95.907;8.181
08/04/2009 04:01;39911.2;98.1674;27.1377;5.71916;36.3408;4.35682;96.0326;8.18
08/04/2009 04:31;39911.2;98.1882;28.1929;5.82198;36.2527;4.25151;95.2979;8.18
08/04/2009 05:01;39911.2;98.2091;26.6357;5.66716;36.3602;4.29715;93.9447;8.168
08/04/2009 05:31;39911.2;98.2299;27.1147;5.71731;36.3455;4.32417;95.2793;8.17
08/04/2009 06:01;39911.2;98.2507;26.4411;5.64796;36.3746;4.2702;93.0616;8.172
08/04/2009 06:31;39911.3;98.2716;26.3509;5.63889;36.3799;4.23784;92.2205;8.176
08/04/2009 07:01;39911.3;98.2924;26.2609;5.6297;36.3842;4.22902;91.8933;8.175
08/04/2009 07:31;39911.3;98.3132;26.2624;5.62993;36.3847;4.21683;91.6308;8.174
08/04/2009 08:01;39911.3;98.3341;26.254;5.62929;36.3867;4.20349;91.3292;8.175
08/04/2009 08:31;39911.4;98.3549;26.2232;5.6261;36.3879;4.21892;91.618;8.174
08/04/2009 09:01;39911.4;98.3757;26.1961;5.6236;36.3911;4.20338;91.2409;8.175
08/04/2009 09:31;39911.4;98.3966;27.5147;5.75436;36.2985;4.26555;94.5833;8.184
08/04/2009 10:01;39911.4;98.4174;26.2239;5.62649;36.3902;4.23475;91.9639;8.177
08/04/2009 10:31;39911.4;98.4382;26.2085;5.62497;36.3913;4.234;91.9246;8.174
08/04/2009 11:01;39911.5;98.4591;26.0944;5.61334;36.3969;4.20125;91.0429;8.175
08/04/2009 11:31;39911.5;98.4799;26.2469;5.62888;36.3894;4.25663;92.4742;8.177
08/04/2009 12:01;39911.5;98.5007;25.6005;5.56103;36.4064;4.08775;87.8577;8.166
08/04/2009 12:31;39911.5;98.5216;26.1115;5.61506;36.3959;4.21722;91.4146;8.176
08/04/2009 13:01;39911.5;98.5424;26.1026;5.61375;36.3934;4.21963;91.4518;8.175
08/04/2009 13:31;39911.6;98.5632;26.0289;5.60641;36.3983;4.19994;90.9157;8.175
08/04/2009 14:01;39911.6;98.5841;25.9658;5.60037;36.4042;4.19204;90.652;8.174
08/04/2009 14:31;39911.6;98.6049;26.6314;5.66793;36.3692;4.25977;93.1254;8.18
08/04/2009 15:01;39911.6;98.6257;27.0093;5.70556;36.3437;4.29886;94.5562;8.187
08/04/2009 15:31;39911.6;98.6466;27.3397;5.7407;36.3373;4.38466;96.9664;8.186
08/04/2009 16:01;39911.7;98.6674;27.4888;5.75509;36.3238;4.35548;96.5499;8.185
08/04/2009 16:31;39911.7;98.6882;27.0986;5.71683;36.3547;4.35793;96.0027;8.183
08/04/2009 17:01;39911.7;98.7091;26.7288;5.67729;36.3602;4.36281;95.5275;8.183
08/04/2009 17:31;39911.7;98.7299;26.3991;5.64396;36.3786;4.28668;93.3576;8.176
08/04/2009 18:01;39911.8;98.7507;26.4066;5.64456;36.377;4.27342;93.0798;8.177
08/04/2009 18:31;39911.8;98.7716;26.5251;5.6568;36.3724;4.32757;94.4424;8.18
08/04/2009 19:01;39911.8;98.7924;27.4142;5.74784;36.3302;4.34747;96.258;8.184
08/04/2009 19:31;39911.8;98.8132;27.1664;5.72441;36.356;4.30664;94.9796;8.181
08/04/2009 20:01;39911.8;98.8341;27.3076;5.73776;36.3413;4.32991;95.7072;8.18
08/04/2009 20:31;39911.9;98.8549;27.5223;5.75872;36.3236;4.34924;96.4645;8.184
08/04/2009 21:01;39911.9;98.8757;27.5434;5.76227;36.3325;4.36055;96.7538;8.182
08/04/2009 21:31;39911.9;98.8966;26.6085;5.66606;36.3737;4.29366;93.8329;8.174
08/04/2009 22:01;39911.9;98.9174;27.7391;5.77931;36.3016;4.31085;95.9415;8.178
08/04/2009 22:31;39911.9;98.9382;27.3998;5.74745;36.3387;4.35955;96.5071;8.181
08/04/2009 23:01;39912;98.9591;27.6426;5.77181;36.3233;4.3568;96.8227;8.181
08/04/2009 23:31;39912;98.9799;26.6133;5.66686;36.3757;4.2578;93.0579;8.171
09/04/2009 00:01;39912;99.0007;27.3846;5.74583;36.3389;4.33757;95.9966;8.18
09/04/2009 00:31;39912;99.0216;27.5614;5.76368;36.3285;4.35032;96.553;8.181
09/04/2009 01:01;39912;99.0424;27.6057;5.76704;36.318;4.33403;96.2555;8.178
09/04/2009 01:31;39912.1;99.0632;28.145;5.8155;36.244;4.2286;94.7058;8.179
09/04/2009 02:01;39912.1;99.0841;28.2484;5.82451;36.2279;4.18354;93.846;8.173
09/04/2009 02:31;39912.1;99.1049;27.2065;5.72682;36.342;4.35086;96.0108;8.176
09/04/2009 03:01;39912.1;99.1257;26.842;5.68873;36.3537;4.30962;94.5364;8.172
09/04/2009 03:31;39912.1;99.1466;27.2352;5.72999;36.3423;4.31735;95.3165;8.175
09/04/2009 04:01;39912.2;99.1674;26.7963;5.68491;36.3621;4.31609;94.6112;8.174
09/04/2009 04:31;39912.2;99.1882;26.6835;5.67315;36.3659;4.31608;94.4363;8.17
09/04/2009 05:01;39912.2;99.2091;26.8026;5.68528;36.3598;4.3051;94.3788;8.174
09/04/2009 05:31;39912.2;99.2299;26.3753;5.64085;36.3749;4.26601;92.8688;8.171
09/04/2009 06:01;39912.2;99.2507;27.2178;5.72834;36.344;4.32848;95.5357;8.177
09/04/2009 06:31;39912.3;99.2716;26.3166;5.63494;36.3783;4.26478;92.7531;8.169
09/04/2009 07:01;39912.3;99.2924;25.9136;5.59081;36.3757;4.22837;91.3429;8.168
09/04/2009 07:31;39912.3;99.3132;25.8207;5.58138;36.3804;4.19901;90.57;8.165
09/04/2009 08:01;39912.3;99.3341;25.8119;5.5807;36.3824;4.21523;90.9074;8.168
09/04/2009 08:31;39912.4;99.3549;25.8268;5.58254;36.3841;4.21669;90.9625;8.17
09/04/2009 09:01;39912.4;99.3757;26.9959;5.70497;36.3499;4.32052;95.0148;8.179
