"Date";"Significant height (cm)";"Significant period (sec)";"EN (22+ cm2)";"EN (20 cm2)";"EN (17 cm2)";"EN (15 cm2)";"EN (13 cm2)";"EN (11 cm2)";"EN (9 cm2)";"EN (7 cm2)";"EN (5 cm2)";"EN (3 cm2)"
"2016-07-28 18:46:00";"271";"6";"7";"0";"0";"336";"0";"0";"206";"1205";"2841";"0"
"2016-07-28 19:46:00";"194";"7";"3";"0";"0";"471";"0";"0";"355";"943";"580";"0"
"2016-07-28 20:46:00";"272";"16";"6";"0";"0";"1768";"0";"0";"518";"1214";"1130";"0"
"2016-07-28 21:46:00";"365";"7";"5";"0";"0";"1520";"0";"0";"1629";"3219";"1961";"0"
"2016-07-28 22:46:00";"255";"10";"5";"0";"0";"415";"0";"0";"1424";"912";"1311";"0"
"2016-07-28 23:46:00";"235";"10";"4";"0";"0";"785";"0";"0";"1099";"1050";"513";"0"
"2016-07-29 00:46:00";"245";"6";"5";"0";"0";"1000";"0";"0";"442";"1063";"1227";"0"
"2016-07-29 01:46:00";"189";"16";"7";"0";"0";"738";"0";"0";"418";"644";"420";"0"
"2016-07-29 02:46:00";"213";"10";"5";"0";"0";"457";"0";"0";"1330";"626";"430";"0"
"2016-07-29 03:46:00";"290";"7";"5";"0";"0";"1339";"0";"0";"1346";"2430";"135";"0"
"2016-07-29 04:46:00";"276";"16";"19";"0";"0";"3541";"0";"0";"175";"603";"426";"0"
"2016-07-29 05:46:00";"192";"10";"6";"0";"0";"584";"0";"0";"869";"629";"215";"0"
"2016-07-29 06:46:00";"236";"10";"3";"0";"0";"1090";"0";"0";"1509";"780";"102";"0"
"2016-07-29 07:46:00";"228";"10";"6";"0";"0";"190";"0";"0";"1651";"1026";"374";"0"
"2016-07-29 08:46:00";"251";"10";"6";"0";"0";"212";"0";"0";"1627";"1303";"793";"0"
"2016-07-29 09:46:00";"247";"10";"6";"0";"0";"372";"0";"0";"1997";"1128";"308";"0"
"2016-07-29 10:46:00";"249";"6";"17";"0";"0";"575";"0";"0";"1173";"860";"1251";"0"
"2016-07-29 11:46:00";"197";"10";"3";"0";"0";"998";"0";"0";"1114";"151";"169";"0"
"2016-07-29 12:46:00";"182";"7";"9";"0";"0";"428";"0";"0";"384";"733";"514";"0"
"2016-07-29 13:46:00";"287";"10";"1";"0";"0";"642";"0";"0";"2649";"951";"900";"0"
"2016-07-29 14:46:00";"227";"10";"6";"0";"0";"490";"0";"0";"1840";"276";"599";"0"
