01/01/2023;Date;Jours jul;Temp;Salinity;Conductivity;O2 (mL/L);O2 (%);pH
;2023-11-24 13:19:21;328,555104;27,8616;35,8147;5,723784;3,2856;73,072;7,943
;2023-11-24 14:19:21;328,596771;27,9189;35,8281;5,731865;3,9103;87,051;7,965
;2023-11-24 15:19:21;328,638438;28,0097;35,872;5,74793;3,9095;87,185;7,983
;2023-11-24 16:19:21;328,680104;28,1463;35,8795;5,76379;4,2361;94,683;8,003
;2023-11-24 17:19:21;328,721771;28,2754;35,8943;5,779893;4,5716;102,406;8,025
;2023-11-24 18:19:21;328,763438;28,5463;35,874;5,80637;4,8164;108,352;8,053
;2023-11-24 19:19:21;328,805104;28,6505;35,8781;5,818284;5,112;115,2;8,058
;2023-11-24 20:19:21;328,846771;28,6671;35,8932;5,822253;4,3889;98,94;8,067
;2023-11-24 21:19:21;328,888438;28,6044;35,8892;5,814861;4,2255;95,157;8,046
;2023-11-24 22:19:21;328,930104;28,5709;35,8939;5,811902;4,0985;92,25;8,032
;2023-11-24 23:19:21;328,971771;28,5151;35,9016;5,806954;4,0156;90,306;8,014
;2023-11-25 00:19:21;329,013438;28,4611;35,906;5,80172;3,8893;87,39;8
;2023-11-25 01:19:21;329,055104;28,3699;35,9109;5,792511;3,4258;76,864;7,976
;2023-11-25 02:19:21;329,096771;28,2972;35,814;5,770785;3,357;75,19;7,978
;2023-11-25 03:19:21;329,138438;28,1688;35,511;5,713685;3,1678;70,686;7,944
;2023-11-25 04:19:21;329,180104;27,8434;34,5447;5,541394;3,3251;73,404;7,928
;2023-11-25 05:19:21;329,221771;27,8265;34,6783;5,558654;3,4632;76,489;7,924
;2023-11-25 06:19:21;329,263438;27,6215;34,5477;5,518592;3,1827;70,005;7,908
;2023-11-25 07:19:21;329,305104;27,5994;34,5629;5,518444;3,0194;66,395;7,903
;2023-11-25 08:19:21;329,346771;27,5873;34,6334;5,527173;2,7639;60,789;7,902
;2023-11-25 09:19:21;329,388438;27,5885;34,668;5,532198;2,7893;61,36;7,886
;2023-11-25 10:19:21;329,430104;27,5666;34,7178;5,536958;2,8435;62,548;7,873
;2023-11-25 11:19:21;329,471771;27,5343;34,7109;5,532582;2,2992;50,545;7,865
;2023-11-25 12:19:21;329,513438;27,5566;34,787;5,545708;2,5874;56,927;7,863
;2023-11-25 13:19:21;329,555104;27,671;34,9083;5,574942;2,6931;59,405;7,875
;2023-11-25 14:19:21;329,596771;27,8284;35,0106;5,606109;3,1019;68,638;7,893
;2023-11-25 15:19:21;329,638438;27,9387;35,0892;5,628981;3,0532;67,713;7,907
;2023-11-25 16:19:21;329,680104;28,1049;35,1825;5,659962;3,7495;83,424;7,927
;2023-11-25 17:19:21;329,721771;28,3352;35,2693;5,696952;3,9561;88,396;7,957
;2023-11-25 18:19:21;329,763438;28,6128;35,3426;5,737187;4,2368;95,134;7,987
;2023-11-25 19:19:21;329,805104;28,8158;35,4348;5,772267;4,6575;104,98;8,002
